date,total_sales
2018-03-14,0.06406838302635595
2018-03-15,0.24229842949696412
2018-03-16,0.2553780400936196
2018-03-17,0.05899392829279875
2018-03-18,0.0789932498897595
2018-03-19,0.08499033275669074
2018-03-21,0.33275669074997455
2018-03-22,0.442861504019538
2018-03-23,0.5379057698178488
2018-03-24,0.7223635561887317
2018-03-25,0.6058206980767274
2018-03-26,0.5848783962552152
2018-03-27,0.7795257962755673
2018-03-28,0.7260608527526203
2018-03-29,0.7419558359621451
2018-03-30,0.8684237305383128
2018-03-31,0.9233133204436755
2018-04-01,0.9999999999999999
2018-04-03,0.455086326786744
2018-04-04,0.33542959872460226
2018-04-05,0.7027577083545334
2018-04-06,0.6708049252060649
2018-04-07,0.09117736847461075
2018-04-08,0.10196397679861605
2018-04-09,0.11254706421084765
2018-04-10,0.45043248193751906
2018-04-11,0.1583392693599267
2018-04-12,0.5319629591940572
2018-04-13,0.7780604457107968
2018-04-14,0.6101556934975069
2018-04-15,0.06431260812048437
2018-04-16,0.06940063091482648
2018-04-17,0.39138428140158066
2018-04-18,0.18808045860045453
2018-04-19,0.6563549404701333
2018-04-20,0.7119161493843492
2018-04-21,0.07713442556222652
2018-04-22,0.0958583494454055
2018-04-23,0.09318544147077779
2018-04-24,0.47257555713849597
2018-04-25,0.18561107153760048
2018-04-26,0.6267494318374547
2018-04-27,0.6969912825209457
2018-04-28,0.13283131508429155
2018-04-29,0.07023506665309859
2018-04-30,0.03480207591330009
2018-05-01,0.326800312065398
2018-05-02,0.8122519588887758
2018-05-03,0.6931922255011702
2018-05-04,0.6718225297649334
2018-05-05,0.2603710864624673
2018-05-06,0.13836708388453578
2018-05-07,0.09769003765136866
2018-05-08,0.4186289474576846
2018-05-09,0.16467555374648077
2018-05-10,0.5309860588175436
2018-05-11,0.5653810929072962
2018-05-12,0.1462908313829246
2018-05-13,0.11186866117160205
2018-05-14,0.07465147043858755
2018-05-15,0.35719276822360163
2018-05-16,0.165258980360232
2018-05-17,0.4205556120891421
2018-05-18,0.38678470879549537
2018-05-19,0.10302228553983919
2018-05-20,0.11232997523828905
2018-05-21,0.11431091211288624
2018-05-22,0.34015128387775173
2018-05-23,0.21400902276042194
2018-05-24,0.4668091313049082
2018-05-25,0.3624164716257929
2018-05-26,0.08062141718394897
2018-05-27,0.09579050914148096
2018-05-28,0.1069705912282487
2018-05-29,0.25863437468199857
2018-05-30,0.12941216376649367
2018-05-31,0.3423357416641226
2018-06-01,0.3173026695159594
2018-06-02,0.13576201621383263
2018-06-03,0.05239985075133136
2018-06-07,0.12766188392523997
2018-06-08,0.22810623791594586
2018-06-09,0.07367457006207387
2018-06-10,0.07246701265221667
2018-06-11,0.05792205149079068
2018-06-12,0.1742953088429836
2018-06-13,0.14618228689664528
2018-06-14,0.239218479698789
2018-06-15,0.1158033987992266
2018-06-16,0.33947288083850613
2018-06-17,0.060242189885010684
2018-06-18,0.06349852447338963
2018-06-19,0.20490485397374578
2018-06-20,0.013839422000610564
2018-06-21,0.3012109494250534
2018-06-22,0.3429327363386588
2018-06-23,0.06119195413995455
2018-06-24,0.05881754350259489
2018-06-25,0.0
2018-06-26,0.17255859706251483
2018-06-27,0.10847664597537396
2018-06-28,0.37753129134018515
2018-06-29,0.4740002035209117
2018-06-30,0.09929106882398833
2018-07-01,0.09832773650825954
2018-07-02,0.09465079203554833
2018-07-03,0.28685594111461615
2018-07-04,0.35594450663138966
2018-07-05,0.6605339031918863
2018-07-06,0.6510633967640175
2018-07-07,0.24419795800685185
2018-07-08,0.1695600556290492
2018-07-10,0.4738102465995047
2018-07-11,0.3955361080017638
2018-07-12,0.8081951087140871
2018-07-13,0.8749363997150708
2018-07-14,0.25455038431532173
2018-07-15,0.21693972388996302
2018-07-16,0.3411688884366202
2018-07-17,0.5285302371018622
2018-07-18,0.4888436620196058
2018-07-19,0.7908958312133239
2018-07-20,0.8672026050676707
2018-07-21,0.2906549981343916
2018-07-22,0.28659814795970284
2018-07-23,0.2921610528815169
2018-07-24,0.5333604694549032
2018-07-25,0.42552152233642004
2018-07-26,0.7233947288083851
2018-07-27,0.8305824090091923
2018-07-28,0.2735049693022624
2018-07-29,0.23042637631016583
2018-07-30,0.21288287371527423
2018-07-31,0.5352057257216513
2018-08-01,0.3936230114310912
2018-08-02,0.7288897934262746
2018-08-03,0.8067568942708864
2018-08-04,0.24463213595196903
2018-08-05,0.1914589057358977
2018-08-06,0.17622197347444116
2018-08-07,0.5271734337369831
2018-08-08,0.353108781927343
2018-08-09,0.6805196567280621
2018-08-10,0.7426342390013907
2018-08-11,0.18808045860045453
2018-08-12,0.15307486177538074
2018-08-13,0.1950137376615447
2018-08-14,0.4892914080255079
